Carbon Finance Index,"Agriculture, forestry, and fishing, value added USD",Trade in USD,Fossil fuel subsidies in USD,Carbon intensity of energy production (Kg/KWh),Imported or exported CO2 emissions per capita,Annual GDP Growth,Fossil fuel consumption per capita (TWh),Consumption-based carbon intensity (Kg/$)
-0.12987053,-0.9778633,-0.9392081,-0.9321285,-0.45373368,-0.58132774,-0.879025,-0.6911826,-0.12627578
0.68397176,-0.9528592,-0.89069796,-0.91624814,-0.19638461,-0.73207206,-0.7413108,-0.5192939,-0.57025737
-0.6242265,0.41827178,0.09575848,-0.5476701,1.0289171,-0.8738023,0.20189466,-0.93942034,0.4566906
-0.587312,-0.9477408,-0.48135233,-0.97472817,0.0905395,-0.5634472,-0.021344021,-0.72554505,-0.2262946
-0.5491453,-0.9648719,-0.41266364,-1.0146964,0.07458322,-0.547825,-0.02782984,-0.7536882,-0.28143865
-0.92327076,-0.99155957,-0.88788223,-0.90364546,0.12255542,-0.5521222,0.041818455,-0.6022471,-0.061181903
-0.17360574,-0.93142235,-0.5958404,-0.5355248,0.2057717,-0.6692206,-0.20267244,-0.7252355,-0.233225
-0.71289843,-0.96748114,-0.67011327,-0.9834395,0.102085486,-0.56150913,0.016288742,-0.71125615,-0.16440633
-0.7970847,-0.95994323,-0.90046406,-0.9148522,0.07033909,-0.54767996,-0.07593869,-0.64112884,-0.03632632
0.9854454,-1.0284605,-1.02787,-1.039897,-0.415587,-0.7113743,-0.6567106,0.022605974,-0.47742233
0.08151043,-0.93722224,-0.9761976,-0.94360095,0.15972309,-0.75684476,-0.7456955,-0.9045197,-0.6611025
-0.08724778,-0.97055954,-0.93026245,-0.8828203,-0.13269855,-0.68706614,-0.8145168,-0.7894225,-0.46506923
-0.50812036,-0.77306616,0.29321682,-0.8025033,0.18075357,-0.5473553,-0.273542,-0.46478423,0.03149022
0.22659498,-1.0159769,-1.0379128,-1.0417985,-0.01436393,-0.7772319,-0.8579243,-0.8990243,-0.8284006
-0.11803203,-0.9651818,-0.5684391,-0.5122363,0.20430936,-0.65778416,-0.20392816,-0.71884537,-0.22338057
-0.8793968,-0.9653455,-0.88201904,-0.9192334,0.1531096,-0.54135644,0.0963117,-0.6259875,-0.031632543
-0.38172668,-0.9769854,-0.49263674,-0.8738344,0.05598609,-0.5857334,-0.11566557,-0.78574175,-0.3097081
0.8307368,-0.9560349,-0.8987893,-0.92940956,-0.2272946,-0.7078054,-0.69619066,-0.3144819,-0.47088248
0.9976155,-1.0197812,-1.0089439,-1.0381255,-0.40134537,-0.71136963,-0.6616595,0.016493995,-0.4387936
-0.10271021,-0.9300476,-0.55632424,-0.5251698,0.20276915,-0.6548041,-0.18227851,-0.70150226,-0.21018963
0.11149079,-0.9907565,-1.0020423,-0.9997415,0.110356465,-0.7737305,-0.8492714,-0.90133417,-0.7172214
0.53396124,-0.97073865,-0.9500803,-0.98397774,-0.46094882,-0.76656413,-0.72617024,-0.78741026,-0.8919121
-0.0874756,-0.93097305,-0.5579512,-0.50392795,0.2134711,-0.6610133,-0.17882787,-0.7000127,-0.20413232
-0.09144669,-0.9309841,-0.5387584,-0.51108366,0.20598267,-0.6504771,-0.18912387,-0.68061376,-0.19728544
0.3066795,-0.9435237,-0.8749751,-0.9627179,-0.6311125,-0.6458557,-0.8055448,-0.63322306,-0.5443945
-0.008924784,-0.9352007,-0.9033708,-0.84615517,0.15957291,-0.7515679,-0.63605803,-0.8792416,-0.5574079
-0.32442433,-1.0312182,-0.96861124,-0.95077425,-0.47532725,-0.59072953,-0.9302485,-0.66302204,-0.17018533
0.8668107,-0.9883429,-0.93946105,-0.99804544,-0.72869396,-0.7131716,-0.6985738,-0.5415786,-0.8560749
0.33325982,-0.93996555,-0.88658106,-0.938735,-0.5925175,-0.6625805,-0.76397777,-0.64128006,-0.6157731
0.04268581,-0.92882186,-0.9669826,-0.93388087,0.16455267,-0.7594865,-0.6752033,-0.924917,-0.66262233
0.94602203,-0.91271436,-0.82834846,-0.75381714,0.32857656,-0.8718665,-0.86119455,-0.25114062,-0.07461973
0.88656104,-0.98323786,-0.92579365,-1.0114096,-0.5273697,-0.67711467,-0.61768657,-0.2839263,-0.626842
0.9932901,-1.0080404,-1.0197251,-1.0250787,-0.41032302,-0.70991915,-0.6773829,-0.002468806,-0.46937665
-0.5025915,-0.9473029,-0.33139187,-0.9787053,0.087538734,-0.5643361,-0.072656885,-0.7568612,-0.27805465
0.694394,-0.9531454,-0.89354664,-0.93563354,-0.7690934,-0.73013216,-0.70128775,-0.67772985,-0.9332835
-0.42870614,-0.85767436,-0.40112376,-1.0036935,0.23329645,-0.5945478,0.088513,-0.7794132,-0.256407
-0.6004245,-0.1173652,-0.50062954,-0.80402577,0.94260633,-0.7743824,0.17459688,-0.9182729,0.049545914
-0.95498437,-0.98618716,-0.9164463,-0.93667144,0.19705777,-0.56045574,0.12156452,-0.64592004,-0.02540797
-0.9632805,-0.96818507,-0.88515013,-0.9395782,0.19497265,-0.56748253,0.11789258,-0.63186824,-0.021045238
-0.10965676,-0.92964715,-0.56652176,-0.52733666,0.21725836,-0.6661745,-0.18477707,-0.7089161,-0.20884173
-0.36757544,-0.9273005,-0.45010084,-0.8495559,0.093664736,-0.59622306,-0.11413886,-0.74923813,-0.28863588
-0.993056,-0.98789704,-0.9424928,-0.9615273,0.21877517,-0.57077056,0.14200921,-0.6408823,-0.03628078
-0.14532262,-0.99271196,-0.95608383,-0.9350125,-0.49430668,-0.5814891,-0.92890924,-0.67610353,-0.15763086
-0.15855688,-0.99858224,-0.9514707,-0.92902714,-0.4813146,-0.57859844,-0.9368475,-0.6668453,-0.15242584
-0.114304714,-0.9776281,-0.9254035,-0.89688605,-0.23374094,-0.6551381,-0.82500654,-0.74122274,-0.33144498
-0.7095705,-0.96237534,-0.6167537,-0.9598326,0.12229721,-0.5555603,0.016742274,-0.683539,-0.15382111
-0.43628043,-0.9152009,-0.3866719,-0.90787655,0.07773447,-0.56814307,-0.083823994,-0.73465025,-0.25443023
-0.15087241,-1.0041698,-0.94567883,-0.9408763,-0.48471713,-0.5815637,-0.92004174,-0.67895633,-0.11727765
-1.0222312,-0.986156,-0.94459325,-0.9692234,0.21077077,-0.5468243,0.14029802,-0.6586661,-0.033305794
0.050077412,-0.9822004,-1.0133084,-0.9362785,0.0947694,-0.7733885,-0.8189242,-0.89567506,-0.68808234
-0.2889039,-0.7678901,-0.7577387,-0.6412442,0.44240612,-0.7595249,0.05967994,-0.79606324,-0.21675508
-0.15212518,-0.9147836,-0.6219445,-0.55312854,0.21181117,-0.683496,-0.20330389,-0.74457633,-0.24357103
0.95184475,-0.90011597,-0.7867646,-0.6676375,0.64091134,-1.0077783,-0.9948416,-0.3277613,0.083881296
-0.26590186,-0.85169977,-0.97685903,-0.7329205,0.30664068,-0.82323104,-0.28498524,-1.0149547,-0.38329265
0.7516984,-0.97290576,-0.8787812,-0.9734498,-0.9150105,-0.769075,-0.699377,-0.62745035,-1.0320978
-0.36557227,-0.9360602,-0.68016636,-0.64141876,0.20585805,-0.63427734,-0.09648292,-0.7389757,-0.1864152
0.6987693,-0.9490314,-0.86117005,-0.9424224,-0.83835214,-0.7623475,-0.6816204,-0.60374343,-0.95533794
0.9153711,-1.0370705,-1.021824,-1.0607803,-0.399602,-0.6118879,-0.60472095,-0.23672615,-0.51771116
-0.13843216,-0.91739184,-0.6335149,-0.53308654,0.20550323,-0.6665755,-0.21315904,-0.74069154,-0.24438974
-0.093587585,-0.9614271,-0.57190526,-0.51558536,0.21460913,-0.65497893,-0.21981378,-0.6950053,-0.21708867
-0.2077511,-0.97806966,-0.9487937,-0.88354266,-0.4820751,-0.5925843,-0.9088244,-0.64924073,-0.14446448
-0.49270436,-0.93601656,-0.32492423,-0.98145694,0.11403106,-0.5536736,-0.027871147,-0.753444,-0.25053847
0.62557405,-0.85499334,-0.74760294,-0.63316584,0.5164987,-0.8593589,-0.7860239,-0.46653685,-0.032934282
-0.8181544,-0.66033113,0.9512309,-0.63625354,0.2795236,-0.627564,-0.30415994,-0.18640624,0.37238085
0.79986686,-0.9551916,-0.89878917,-0.9936722,-0.80129737,-0.7326164,-0.69190985,-0.55092776,-0.9245931
-0.53833157,0.29631254,0.073939905,-0.528168,0.87066317,-0.79866177,0.08978894,-0.8429117,0.3939548
-0.18817896,-0.9749503,-0.9481676,-0.91122085,-0.4633832,-0.5909081,-0.9184121,-0.65756875,-0.16102044
0.9705011,-1.0034539,-0.99946535,-1.0300483,-0.3991835,-0.70551807,-0.6385647,0.027651507,-0.45735928
0.6598632,-0.9559821,-0.9009682,-0.96481514,-0.6812891,-0.7518702,-0.6835347,-0.69332963,-0.9318044
-0.3567409,-0.9525826,-0.45487255,-0.84811854,0.077234775,-0.5818849,-0.10210268,-0.7271155,-0.26924986
0.96667594,-1.0655026,-1.0503722,-1.0733402,-0.41549796,-0.6974958,-0.67882514,0.02072205,-0.495943
-0.033203777,-0.9326561,-0.97618926,-0.9006524,0.18712895,-0.76979923,-0.60919106,-0.95559597,-0.6041579
1.0435731,-0.9505536,-0.82434124,-0.6624756,0.7059901,-1.0551379,-1.0703532,-0.33087447,0.11162302
-0.1574536,-0.9427924,-0.9111948,-0.9010464,-0.4561075,-0.56265616,-0.86292905,-0.6568463,-0.11504863
-0.61300826,-0.26145744,-0.60943526,-0.83356017,0.8788724,-0.8002686,0.1269173,-0.95317936,-0.027419984
-0.16502368,-0.96232295,-0.91490924,-0.89531934,-0.45390677,-0.58032906,-0.8695406,-0.6586295,-0.12621425
-0.13295978,-1.0038893,-0.9288323,-0.90758187,-0.48772538,-0.59812856,-0.90816456,-0.6464148,-0.21482658
1.1386648,-1.0729303,-0.8989737,-0.71426636,0.9667586,-1.2846973,-1.2624505,-0.41980395,0.18755129
1.002848,-0.9644767,-0.81175,-0.66148263,0.7684405,-1.1159852,-1.1043438,-0.38219932,0.13546571
0.9774001,-1.0004967,-0.99993837,-1.0195243,-0.37695283,-0.67664164,-0.6348045,-0.030539017,-0.4341917
0.11774019,-0.94801766,-0.9741621,-0.9806385,0.12336908,-0.7505013,-0.8043626,-0.89755607,-0.7018341
0.5323401,-1.0322065,-0.77578896,-0.8807321,-0.0634525,-0.5250166,-0.33659023,-0.7222823,-0.5105222
1.006146,-0.9150144,-0.8108793,-0.65197575,0.6954516,-1.042223,-1.0430917,-0.3400906,0.10057293
-0.033840325,-0.9029589,-0.98119295,-0.89845985,0.2259755,-0.7763606,-0.6162458,-0.94138473,-0.5767001
0.6934957,-1.0396106,-0.9750798,-1.0282009,-0.94450426,-0.7684254,-0.7523932,-0.6485367,-1.0923219
-1.0366355,-1.009757,-1.0031878,-0.976904,0.243427,-0.5795792,0.17077358,-0.6607251,-0.04225114
0.8943277,-1.0038185,-0.96032906,-1.0398926,-0.708532,-0.7441205,-0.70442814,-0.4169844,-0.8046559
-0.5195519,-0.95646936,-0.37517303,-1.023451,0.025255397,-0.55649155,-0.05654101,-0.77142495,-0.31562796
1.0021561,-0.94171363,-0.8187979,-0.6697649,0.6594082,-1.0271702,-1.0292517,-0.33806485,0.07247148
-0.076114245,-0.91441983,-0.56773174,-0.49155977,0.22100241,-0.65502083,-0.17064887,-0.7083757,-0.19528458
-0.46896696,-0.88601804,-0.22324608,-0.9383039,0.11516456,-0.5433797,-0.07864927,-0.6950726,-0.20151675
-0.5013292,-0.9539778,-0.34306312,-1.0022804,0.1202791,-0.59112865,-0.059127793,-0.7750356,-0.30255875
-0.37622795,-0.6937954,-0.8523524,-0.7439055,0.44058317,-0.7894398,-0.14055686,-0.96493125,-0.27601656
-0.4076113,-0.9420303,-0.4021505,-0.9651109,0.07288517,-0.5521725,-0.07879543,-0.7686366,-0.27162206
0.86837846,-0.9724704,-0.921015,-0.99984485,-0.18520667,-0.48592404,-0.36797005,-0.8328922,-0.6231836
0.1490373,-0.93011075,-0.97576994,-0.95576745,0.13360725,-0.76080376,-0.83185834,-0.8971952,-0.6731877
-0.5804857,-0.72306323,0.39546412,-0.7086298,0.15229695,-0.57290107,-0.26694256,-0.3651779,0.120292194
-0.95178485,-0.9692688,-0.8836744,-0.9460474,0.19561297,-0.5690457,0.11294742,-0.6461934,-0.020988911
-0.33752644,-0.8299562,-0.98487544,-0.70762914,0.35428745,-0.82594085,-0.23840971,-1.0254238,-0.33385667
-0.3138361,-0.83570576,-0.9896276,-0.7265609,0.3439923,-0.82904255,-0.25371036,-1.039187,-0.3485429
-0.6899013,-0.9811489,-0.8875219,-0.8979197,-0.0700136,-0.53370124,-0.27071172,-0.6371107,-0.07021755
-0.07499569,-0.92879593,-0.59667754,-0.5164929,0.21455055,-0.64578164,-0.18476176,-0.7057903,-0.21940781
0.7346543,-1.0296099,-0.90921843,-0.9786938,-0.7695965,-0.6769331,-0.7146019,-0.53101397,-0.8884731
0.5151828,-0.937452,-0.8983766,-0.8977016,0.048027113,-0.7863228,-0.8417616,-0.6916268,-0.54624796
0.9836866,-1.0857706,-1.0848508,-1.0920548,-0.4260869,-0.7185436,-0.6772141,0.040451426,-0.48571607
-0.49099332,-0.49973685,-0.6831985,-0.7411491,0.6850955,-0.77896196,0.08446236,-0.8655501,-0.11698711
0.820254,-0.9680121,-0.872442,-0.98790395,-0.8147418,-0.7087568,-0.6947333,-0.6503859,-0.99382144
-0.9253487,-0.99238455,-0.89281553,-0.90614057,0.12099932,-0.5552216,0.044917062,-0.60712737,-0.062767684
0.403553,-0.89259267,-0.839784,-0.72623986,0.38445604,-0.8128145,-0.7067886,-0.6809683,-0.2707841
-0.10278386,-0.9236028,-0.5790936,-0.5168801,0.21466503,-0.6476957,-0.18876295,-0.71057445,-0.2043655
-0.50271624,0.69193727,0.8464,-0.16111134,0.7365488,-0.7767156,0.041734666,-0.6546038,0.81833297
0.86174273,-0.9712842,-0.93829465,-1.0039144,-0.60200053,-0.7270165,-0.6668826,-0.2872884,-0.7041354
0.9792084,-1.0049168,-1.0189942,-1.0429608,-0.46477062,-0.66726637,-0.6433411,-0.023441117,-0.47929084
0.78548044,-1.0271513,-0.9310033,-0.9611719,-0.64253813,-0.6428821,-0.7119871,-0.3215917,-0.74115497
0.1147924,-0.98766935,-1.0283916,-0.9888314,0.1155882,-0.7534327,-0.8366893,-0.89959383,-0.77275026
-0.13731694,-1.0020087,-0.93338567,-0.94188553,-0.48480493,-0.5807433,-0.9188726,-0.68630105,-0.12921451
-0.26980156,-1.0292277,-0.9717671,-0.94240355,-0.48836327,-0.5889128,-0.9673602,-0.6627902,-0.18244347
-0.9930833,-0.9586412,-0.9181876,-0.9323673,0.23539793,-0.54971105,0.15074743,-0.6464252,-0.016184866
-0.20220304,-0.9346856,-0.8375933,-0.8963031,-0.2380747,-0.60806566,-0.68920463,-0.71824306,-0.25251758
-0.23645097,-0.87606275,-0.81769145,-0.62056994,0.27196026,-0.74438655,-0.21348895,-0.88223606,-0.28741327
-0.46227056,0.5925124,0.682703,-0.23771782,0.6917573,-0.7503885,0.058694907,-0.63170826,0.6933496
-0.52308744,0.88933533,0.8901766,-0.14784639,0.8384099,-0.8297528,0.13579814,-0.7365961,0.90630233
0.40200272,-0.93545234,-0.85651433,-0.9523825,-0.6635301,-0.6613055,-0.7709814,-0.6257225,-0.60843027
-0.2835017,-0.85408294,-0.90198183,-0.65639013,0.32546508,-0.77211154,-0.21534352,-0.9445146,-0.31667188
0.96001613,-1.0128345,-1.0416538,-1.0712783,-0.48971832,-0.64356595,-0.6354173,0.013276953,-0.48912406
-0.697871,-0.96248317,-0.5869025,-0.975904,0.11264187,-0.5543656,0.010172293,-0.68957907,-0.16171432
-0.09496527,-0.9382959,-0.56626296,-0.51547295,0.21145336,-0.654493,-0.16730885,-0.6901802,-0.17969789
0.83511215,-0.9823235,-0.9191368,-0.9986748,-0.7105131,-0.72120875,-0.7066662,-0.4150147,-0.8055438
0.72220504,-1.0192609,-0.9437059,-1.0100513,-0.8981723,-0.7631865,-0.73463106,-0.65031946,-1.0587443
0.94701415,-1.003116,-1.030065,-1.0347046,-0.4154175,-0.7002197,-0.68053967,-0.015726905,-0.4751612
0.79574203,-1.0234979,-0.9403887,-1.0232414,-0.94460154,-0.7596888,-0.7492429,-0.6320647,-1.0719303
-0.20188847,-0.8675535,-0.97957623,-0.79232216,0.27653223,-0.7930762,-0.39800334,-0.98396313,-0.45521176
0.92348206,-0.9417935,-0.85178125,-0.8508312,0.07705177,-0.67809117,-0.676177,-0.4281537,-0.28917447
0.98380715,-1.0121398,-1.0325866,-1.036733,-0.44849777,-0.67308384,-0.6327695,-0.005382102,-0.45878884
0.91562533,-0.979203,-0.95673496,-1.0054879,-0.63385314,-0.7053778,-0.6627349,-0.3841389,-0.7234961
-0.5740745,-0.3694579,-0.69527835,-0.8016544,0.7875422,-0.80305445,0.081237644,-0.9542438,-0.07551739
-0.099169575,-0.9364184,-0.61798453,-0.5259951,0.22843392,-0.65661603,-0.18601108,-0.7303587,-0.2077091
-0.29593104,-0.7982708,-0.93369406,-0.683559,0.37770832,-0.81939185,-0.21768428,-1.0125484,-0.3278971
0.5154113,-0.8986646,-0.7487696,-0.7063287,0.35881108,-0.813297,-0.7112632,-0.68367285,-0.261922
1.0083888,-1.0157301,-1.0081484,-1.0087826,-0.37065554,-0.7145049,-0.6861678,0.007973392,-0.441274
0.027570998,-0.9358344,-0.89635295,-0.8602581,0.15610383,-0.7325678,-0.71939695,-0.89215887,-0.60714436
-0.23934393,-0.8707045,-0.8240802,-0.63814026,0.2889256,-0.75982964,-0.25960505,-0.9042418,-0.2947595
-0.11700945,-0.8516551,-0.93351907,-0.801646,0.2837777,-0.78455114,-0.4432354,-0.93320245,-0.44728678
-0.50641155,-0.9615525,-0.3373453,-0.98272336,0.07764234,-0.56394607,-0.06383301,-0.75785697,-0.27098164
0.37772936,-0.86406136,-0.7682599,-0.6498243,0.4302805,-0.84471816,-0.62341577,-0.6074084,-0.13449803
-0.117107384,-0.91008115,-0.98457897,-0.8523626,0.23607075,-0.78155994,-0.5222981,-0.9593053,-0.53460336
0.9327373,-1.0224025,-0.92306507,-1.0094786,-0.23642124,-0.58200043,-0.5712411,-0.5762535,-0.5394302
0.10148769,-0.99641085,-1.0291219,-1.011109,0.1131777,-0.78390604,-0.8675429,-0.8988822,-0.73844814
0.5965719,-0.9500007,-0.8581761,-0.9251999,-0.73352855,-0.7454339,-0.70515007,-0.6280328,-0.92833394
-0.10025052,-0.94212186,-0.5584415,-0.52791744,0.20367903,-0.66166085,-0.2139218,-0.7102733,-0.23648304
-0.15780345,-0.9015191,-0.6846578,-0.5360372,0.24488094,-0.687312,-0.14847805,-0.77242064,-0.21730037
0.8003115,-0.9868481,-0.9093125,-0.9939165,-0.9057576,-0.7888799,-0.7395727,-0.64196026,-1.0154887
-0.92741513,-0.99417317,-0.9106744,-0.9371347,0.174821,-0.55918545,0.10179378,-0.63713455,-0.0334495
-0.17429453,-0.9826741,-0.9418239,-0.9051435,-0.47218406,-0.5771382,-0.9235064,-0.66695845,-0.14592403
-0.562783,-0.7477426,0.29791713,-0.77053505,0.12788932,-0.5670957,-0.22651757,-0.41058922,0.05864558
-0.05812114,-0.9401692,-0.5713052,-0.500683,0.22022964,-0.64260715,-0.17591725,-0.70414543,-0.18899147
-0.07012052,-0.93466866,-0.5679423,-0.49157086,0.21898915,-0.65969527,-0.19157895,-0.69062656,-0.183043
0.80281186,-0.9771659,-0.8981582,-0.9850454,-0.8949164,-0.7701758,-0.7246448,-0.65057784,-1.0048131
-0.98544663,-0.98865503,-0.9454539,-0.958427,0.19324537,-0.5544595,0.12789251,-0.64153564,-0.036236197
0.095683366,-0.99244195,-1.0474004,-1.0109042,0.11530833,-0.7992225,-0.8595045,-0.9182476,-0.77046454
-0.5658929,-0.7597212,0.24897175,-0.7789903,0.12069903,-0.56631076,-0.20213462,-0.433651,0.031989828
0.9391652,-0.9125689,-0.8035946,-0.7461999,0.340585,-0.89005584,-0.88233787,-0.24724089,-0.06974879
-0.4193681,-0.5331097,-0.73658276,-0.75632674,0.57860386,-0.7497981,0.001392484,-0.9297587,-0.17646739
-0.19836548,-0.8632208,-0.8923026,-0.7309923,0.23962261,-0.7559325,-0.36288387,-0.92867935,-0.4176568
-0.18436207,-0.8973927,-0.7579919,-0.60354245,0.25178152,-0.70582545,-0.20763086,-0.82413113,-0.2595726
-0.15786356,-1.0126399,-0.9550025,-0.94336545,-0.5005805,-0.5740474,-0.9333511,-0.6733142,-0.14201358
0.76470035,-1.0215493,-0.9666151,-1.0394863,-0.93038654,-0.7520148,-0.7546038,-0.6624917,-1.0906973
-0.08390158,-0.9422369,-0.64636266,-0.5326431,0.2255993,-0.65767014,-0.17772026,-0.7395969,-0.22010039
-0.11774064,-0.9365815,-0.5774979,-0.5229559,0.19750512,-0.66462946,-0.21541096,-0.7068114,-0.24138282
0.9810141,-1.0117805,-0.9328235,-0.99205226,-0.26567787,-0.55664885,-0.5998583,-0.7256425,-0.62432206
-0.30673915,-0.8080278,-0.9553938,-0.67861253,0.37806547,-0.8208396,-0.22274639,-1.026544,-0.31429818
-0.106052816,-0.9349969,-0.57378334,-0.525665,0.20971005,-0.6511695,-0.1858112,-0.71060646,-0.20143518
-0.97368956,-0.9795541,-0.95344776,-0.96122724,0.21311396,-0.5636344,0.13062502,-0.6498102,-0.03451264
-0.31947643,-0.824063,-0.976251,-0.69386256,0.36223346,-0.82708323,-0.22214548,-1.0140785,-0.30593437
0.96913755,-0.9153019,-0.79202473,-0.6561069,0.709222,-1.0470729,-1.0404359,-0.34237126,0.11013395
-0.111112796,-0.9121288,-0.59782875,-0.5277073,0.22853567,-0.65702784,-0.16373573,-0.73717093,-0.20651418
0.9965424,-1.061229,-1.055113,-1.1016908,-0.43713784,-0.70734537,-0.6662355,0.006955523,-0.4951377
-0.30183834,-0.95735806,-0.49224633,-0.75794834,0.12453095,-0.61848056,-0.1248932,-0.7282022,-0.2510717
-0.28801253,-0.9446474,-0.46709883,-0.7708805,0.13181752,-0.6091376,-0.1388054,-0.7447791,-0.26773953
0.96605444,-0.88835645,-0.78318965,-0.65244675,0.6849535,-1.017849,-0.9692899,-0.34099957,0.09748415
-0.60347134,-0.69358206,0.2580256,-0.78111404,0.2281199,-0.57182616,-0.17864892,-0.43822905,0.082451016
0.8798776,-1.0188696,-0.86432284,-0.94543535,-0.17365326,-0.5064882,-0.5829883,-0.82629454,-0.5514098
-0.493775,-0.98086166,-0.39291942,-1.0254844,0.05029212,-0.56087023,-0.053183243,-0.7683732,-0.3031549
0.53812426,-0.9613897,-0.9174903,-0.98096496,-0.755795,-0.72638744,-0.73232573,-0.6498939,-1.0486937
0.97144777,-0.8946948,-0.7808748,-0.62567335,0.6970984,-1.013226,-0.96047646,-0.30696425,0.13131285
0.74431247,-1.0271537,-0.9026904,-0.99306494,-0.79210895,-0.68079805,-0.7172646,-0.5743022,-0.94784355
0.5111086,-0.9991999,-0.9647087,-1.0094905,-0.45057213,-0.7674188,-0.74467826,-0.7984717,-0.9219966
0.8240077,-0.998504,-0.919177,-1.0203594,-0.89685917,-0.74580944,-0.7339735,-0.65464735,-1.0146396
-0.15072566,-0.9041874,-0.98459584,-0.8445282,0.24036129,-0.7827619,-0.48332667,-0.98259157,-0.50603443
0.89830774,-0.9828495,-0.9270977,-1.0237392,-0.63878673,-0.69579893,-0.6450488,-0.39893934,-0.7525214
-0.4554209,-0.9618143,-0.40351123,-0.9883,0.055154517,-0.5599236,-0.07643299,-0.7654217,-0.28875977
0.94881064,-0.9823622,-0.9592298,-1.013166,-0.34416687,-0.6548788,-0.6122281,-0.2807196,-0.50717807
-0.25786245,-0.8340111,-0.869001,-0.62476987,0.3284952,-0.7659916,-0.20959117,-0.9335963,-0.27839965
0.9848487,-1.002082,-1.0168569,-1.0297283,-0.39769375,-0.6856825,-0.63356453,0.003395934,-0.44542107
0.14148527,-0.99573684,-0.9961205,-1.0158541,0.12009056,-0.77329165,-0.8425398,-0.9045778,-0.7368889
0.97185093,-0.98965645,-0.93000495,-0.9208099,-0.13992335,-0.73376477,-0.718116,-0.11217336,-0.31655845
-0.2639348,-0.8390226,-0.96436185,-0.73077554,0.32049626,-0.8038569,-0.32502842,-0.98512816,-0.37733948
-0.10718199,-0.93511367,-0.57258934,-0.5082929,0.20789053,-0.64964205,-0.18545881,-0.70048094,-0.20041423
-0.39674273,-0.9654383,-0.4843943,-0.8915234,0.05272807,-0.57901025,-0.100299045,-0.773209,-0.30175295
-0.60774547,-0.18144658,-0.60245705,-0.8342215,1.069636,-0.855946,0.16503753,-0.99532264,0.07651846
-0.06420015,-0.904963,-0.55045575,-0.4822531,0.22386135,-0.6536709,-0.16637723,-0.703934,-0.1772744
0.9757411,-1.053224,-1.0583614,-1.0810293,-0.44750464,-0.6774644,-0.649916,0.001135726,-0.49041915
0.9892611,-1.0254767,-1.0263948,-1.0486687,-0.41376197,-0.6998704,-0.6636403,0.010934431,-0.4314179
