Carbon Finance Index,"Agriculture, forestry, and fishing, value added USD",Trade in USD,Fossil fuel subsidies in USD,Carbon intensity of energy production (Kg/KWh),Imported or exported CO2 emissions per capita,Consumption-based carbon intensity (Kg/$),Annual GDP Growth,Fossil fuel consumption per capita (TWh)
0.14756328,-1.0259953,-0.98817915,-0.9732217,-0.6689828,-0.6088396,-0.33023536,-0.89469063,-0.68961966
-0.30154303,-0.9665786,-0.71727395,-0.93113816,0.29427975,-0.62449545,-0.5542881,0.771674,-0.6666771
0.9633407,-1.0100725,-1.0200936,-1.0136458,-0.4095472,-0.69032097,-0.48240063,-0.61433154,0.026353259
-0.47895613,0.6855445,0.64320475,-0.26615062,0.65098774,-0.9248808,0.7560084,-0.043647,-0.7334644
0.09193904,-1.0264499,-0.9676564,-1.0044115,-0.62961155,-0.6014984,-0.27524608,-0.8861569,-0.6599711
0.9586836,-0.9808183,-0.9602549,-0.9737745,-0.41562063,-0.6714136,-0.54548144,-0.5886295,-0.14760476
-0.32321385,-0.93966097,-0.7851419,-0.71261567,0.20617993,-0.6470435,-0.30133638,0.06713946,-0.74781746
0.002862312,-0.9839306,-0.93870735,-0.9878122,-0.60537857,-0.53398556,0.023917902,-0.8806976,-0.71940094
0.9222277,-0.9738975,-0.8228981,-0.632394,0.7440501,-1.0502703,0.06508495,-1.0409085,-0.30494848
-0.2691376,-0.96028805,-0.73447585,-0.83529764,0.24359202,-0.6209741,-0.45182088,0.48197982,-0.68339324
0.40701663,-1.0048139,-0.98302376,-0.97569805,-0.15292306,-0.73430914,-0.79535997,-0.8161476,-0.8168495
0.9322384,-0.9493696,-0.8180792,-0.65481824,0.70246905,-0.9940966,0.05072101,-1.0131357,-0.28925833
-0.08758088,-0.89725757,-0.9724735,-0.8239797,0.22910099,-0.7339353,-0.5395219,-0.53408056,-0.9153799
-0.23591718,-0.88329566,-0.9402703,-0.6972759,0.2861709,-0.7627954,-0.40660897,-0.30138728,-0.9309081
-0.49155092,-0.95108557,-0.3411094,-1.0468273,0.000846313,-0.57544875,-0.26972118,-0.014711462,-0.78104204
-0.07998314,-0.9222342,-1.0324941,-0.88130766,0.24160923,-0.76741326,-0.6109679,-0.6036294,-0.9522975
-0.02526965,-0.95401984,-0.9486761,-0.96584696,-0.57671607,-0.57803315,-0.04234172,-0.8943822,-0.7294744
-0.04865261,-0.9667183,-0.9322842,-0.92856866,-0.5527099,-0.560473,-0.08101572,-0.8777096,-0.6968944
-0.46020412,-0.9362209,-0.37279287,-1.0154089,0.027467314,-0.57894325,-0.27107123,-0.021630071,-0.7667384
0.54921234,-0.98936224,-0.92565185,-0.9454727,-0.66397554,-0.7210051,-0.8042846,-0.722306,-0.7110206
-0.48322895,-0.97074336,-0.32993168,-1.0722979,0.000121921,-0.58912414,-0.30477425,0.020523526,-0.80914015
1.0159944,-1.0426832,-1.0188471,-0.9936605,-0.38115937,-0.71675664,-0.4509622,-0.66464883,0.08576739
0.840973,-1.0838125,-1.0932857,-1.0413325,-0.41392958,-0.708486,-0.4764792,-0.6795995,-0.07771936
0.11567665,-0.97886646,-1.0235316,-0.99629754,0.17581667,-0.73956406,-0.7607655,-0.8431793,-0.899795
-0.34883705,-1.1314639,-1.0371449,-1.0016229,-0.4479487,-0.5953886,-0.042541515,-1.0457481,-0.66019315
-0.26886246,-0.897081,-0.8994448,-0.59301764,0.29573625,-0.73956496,-0.32768565,-0.22618103,-0.8895761
-0.06186398,-1.0132855,-0.9809008,-0.9769306,-0.52377194,-0.59194404,-0.074242786,-0.9003021,-0.71976143
-0.48906696,-0.9533471,-0.67364377,-0.8513894,0.08007352,-0.6071518,-0.1594005,-0.13835502,-0.74395
-0.074028395,-1.0166526,-0.9653067,-0.9985132,-0.5921881,-0.5842003,-0.11787249,-0.95197624,-0.66092217
-0.48403826,-0.9697808,-0.3449181,-1.0634655,-0.002099587,-0.5688972,-0.28767726,0.000667788,-0.78123164
0.08841152,-0.99875635,-1.0418257,-1.0108706,0.15123728,-0.7308059,-0.7468172,-0.8441673,-0.86879593
-0.114280395,-0.9522499,-0.63953984,-0.5882667,0.20066835,-0.6811903,-0.2905731,-0.19949958,-0.7633317
0.08724115,-0.99640316,-1.0266424,-1.0116103,0.19697976,-0.7538288,-0.7526441,-0.8497663,-0.90264654
-0.9745112,-1.0017549,-1.0162693,-0.9787934,0.10553871,-0.5302689,0.053350795,0.17253724,-0.64689356
-0.3073732,-0.91399145,-1.059512,-0.7474756,0.3205753,-0.821671,-0.44108823,-0.33537212,-1.0203943
0.2681031,-0.9743496,-0.9100371,-0.78324395,0.09028433,-0.6452635,-0.47126395,-0.4165221,-0.8576276
0.06354085,-0.96553624,-0.9723207,-0.95290554,0.17139338,-0.72291666,-0.6841051,-0.7571513,-0.8867651
-1.0608996,2.65678,2.4919662,0.5986232,1.7366201,-1.3796642,1.9904302,0.76209974,-0.76723397
-0.052789055,-0.9481345,-1.0139852,-0.85819143,0.23206511,-0.7716321,-0.6004032,-0.570843,-0.9594246
-0.5242998,0.26358742,0.28964913,-0.3671598,0.5628248,-0.9137036,0.49069083,-0.25377253,-0.75963056
-0.6718823,-0.95234036,-0.60295975,-1.0118204,0.07178904,-0.55491585,-0.16355003,0.08211932,-0.7065841
-0.33112964,-0.5738679,-0.46468353,-0.7113818,-0.03220518,-0.69273525,0.14776812,-0.68836576,-0.64400506
-0.44187942,-0.75065154,-0.9480587,-0.7045331,0.45378578,-0.8086353,-0.31355587,-0.19088218,-0.99529815
-0.8087251,-1.0376978,-0.8298044,-1.0737453,0.23805802,-0.57288796,-0.33389887,0.7343717,-0.64715713
-0.058107637,-1.0315346,-0.9561756,-0.98420864,-0.5984861,-0.5924769,-0.15070511,-0.9253834,-0.6794262
-0.055744253,-0.9294547,-0.88887453,-0.8119424,0.20428692,-0.6982052,-0.5309251,-0.51460814,-0.85931873
0.09464172,-0.9485245,-0.7041629,-0.46092287,0.352781,-0.7796012,-0.16791745,-0.36767286,-0.6179458
-0.11777159,-0.90537906,-1.0398252,-0.85647196,0.2520442,-0.77270025,-0.5839722,-0.5254456,-0.97000414
-0.8586074,-0.95721126,-1.0060971,-0.93643504,0.16667406,-0.5608025,-0.007967021,0.15344954,-0.65084755
-0.2922651,-0.9676689,-0.48199216,-0.8030643,-0.37421322,-0.5481953,0.029324997,-0.7244944,-0.49146065
-0.08270716,-0.8936782,-0.5614573,-0.47047523,0.20196201,-0.62247705,-0.18611321,-0.16773,-0.6731868
-0.32118422,-1.0224025,-0.64491665,-1.0239308,0.3532558,-0.653927,-0.71066207,1.199371,-0.66028136
-0.7294346,-0.9576222,-0.77525765,-1.02798,0.066511296,-0.5754749,-0.1107537,0.08463875,-0.719513
-0.043340035,-0.9847686,-0.9568089,-0.92778367,-0.5252412,-0.57334524,-0.15615596,-0.840025,-0.7183906
0.19678947,-1.1535939,-1.0178013,-1.0551943,-0.71371704,-0.7446367,-0.5777977,-0.934872,-0.79198885
-0.5129161,-0.47533673,-0.7983565,-0.7647669,0.7306922,-0.82828337,-0.17859979,-0.08656805,-0.9898529
-0.53145206,0.093287185,0.18749154,-0.44288442,0.38236463,-0.8155301,0.52774334,-0.4096722,-0.7332823
-0.5011203,-0.95123273,-0.34930778,-1.0321192,0.01735416,-0.54972416,-0.29887843,0.017748393,-0.7610217
-0.6104521,-0.38730103,-0.6748842,-0.8908555,0.77788407,-0.757209,-0.15489097,0.23043671,-0.89879346
-0.9489142,-0.9923285,-0.9440757,-0.96793205,0.15171887,-0.5381644,0.002904255,0.20232528,-0.66343373
-0.47774628,-0.93585503,-0.31336716,-1.0685055,-0.0127161,-0.5438446,-0.29292288,0.030304424,-0.80460006
0.7451266,-0.98016953,-0.8770771,-0.9819724,-0.8802143,-0.725677,-0.90340793,-0.7045046,-0.6285268
0.3535847,-1.0014703,-0.97615707,-0.9757187,-0.3876719,-0.72279567,-0.7118823,-0.8063331,-0.77648383
0.8343382,-0.93224347,-0.77713174,-0.621435,0.68566835,-0.96737665,0.044749904,-0.9583038,-0.3457361
-0.49783126,-0.5189223,-0.77966756,-0.79240483,0.6560651,-0.8086037,-0.20809259,-0.09523366,-0.9742893
-0.6695621,-0.9590323,-0.6981449,-1.0509324,0.04398947,-0.5671145,-0.14672817,0.07740649,-0.7332403
-0.4938757,-0.9512571,-0.31035292,-1.0404631,0.001237145,-0.55829126,-0.28339943,0.010222323,-0.7927147
0.039735295,-0.96742415,-1.0101084,-0.9771593,0.18998365,-0.73384565,-0.7138854,-0.7633917,-0.8931175
-0.7355934,-0.9358981,-0.92361444,-0.8938981,0.15701461,-0.5716601,-0.0413846,0.021863393,-0.68359214
-0.23160025,-0.9913356,-0.74792767,-0.99253917,-0.38402015,-0.5893155,-0.11905523,-0.5618357,-0.7203294
-0.21296248,-0.9416796,-0.6956705,-0.67147076,0.2723415,-0.6551947,-0.38557872,0.13854867,-0.76334596
0.96606475,-1.1432626,-1.1207069,-1.0332711,-0.4404106,-0.73901063,-0.5752284,-0.67521006,-0.044563796
-0.110675655,-1.0148058,-0.94783807,-0.9680997,-0.5392986,-0.58211976,-0.089074954,-0.89795697,-0.7111224
0.96025467,-1.0219843,-0.9490484,-1.007019,-0.6127625,-0.6868884,-0.78004205,-0.63409525,-0.45724255
-0.1678299,-0.94029045,-0.6343223,-0.65426165,0.1451183,-0.64853185,-0.21636418,-0.19698569,-0.76268214
0.8132196,-0.9812529,-0.8863778,-0.9783644,-0.9264535,-0.7508063,-1.0090487,-0.70303375,-0.65200233
0.29004514,-1.0120012,-1.0229471,-1.0099727,-0.13977303,-0.74200314,-0.828024,-0.8711113,-0.82816887
-0.22565413,-0.92982197,-0.65249056,-0.6155305,0.19372238,-0.64848304,-0.23272686,-0.1233807,-0.73164594
0.9160988,-0.97935545,-0.8170957,-0.5813387,0.76584035,-1.0490046,0.07820794,-1.0894928,-0.26615846
0.24764806,-1.0228378,-1.0473412,-1.0029459,-0.0938172,-0.75416535,-0.8165387,-0.87134093,-0.85504216
-0.17445412,-0.9556674,-0.5921821,-0.7749035,0.1446554,-0.65424615,-0.3257793,-0.18933043,-0.76668954
0.9887776,-1.0441841,-0.88039684,-0.971315,-0.18222134,-0.5242079,-0.58942014,-0.61064017,-0.71341556
0.79970384,-0.9942665,-0.91455936,-1.0145644,-0.9033175,-0.78034997,-1.0290229,-0.69368476,-0.62901205
0.16283181,-0.99006605,-1.0309458,-1.0330322,0.12576677,-0.75403005,-0.7870928,-0.85867065,-0.9156802
-0.14812917,-0.8958137,-0.8111136,-0.66557497,0.2114787,-0.7089267,-0.32730132,-0.28826028,-0.8233523
-0.48463055,-0.9215348,-0.33219674,-1.0598149,-0.02674463,-0.551259,-0.29922283,0.000576369,-0.7717821
0.06984957,-1.0394101,-0.9654231,-0.9866478,-0.6411013,-0.6047196,-0.24785383,-0.9214794,-0.6698141
-0.14397752,-0.9167156,-0.5795363,-0.5513913,0.18991725,-0.6376988,-0.21119536,-0.14729504,-0.7016122
-0.9590821,-0.9916425,-0.967682,-0.9679586,0.14434707,-0.53469914,0.02161749,0.20289925,-0.65948963
-0.0752761,-0.9145358,-0.60287535,-0.5077752,0.20197217,-0.6482363,-0.20847678,-0.19723743,-0.6994921
0.83869815,-0.9885911,-0.89019847,-1.0092494,-0.9372976,-0.75211805,-1.0183325,-0.70482314,-0.63096845
-0.7260271,1.7121915,1.6592339,0.11265199,1.3034066,-1.285191,1.422027,0.38471407,-0.7949863
-0.1487911,-0.92344433,-0.6577719,-0.5368678,0.21160026,-0.6502032,-0.24344133,-0.21838823,-0.7592979
-0.95259774,-1.0069697,-0.99217254,-0.9085332,0.12636374,-0.55962276,0.014980931,0.09852541,-0.6493915
-0.8841232,-0.97330326,-0.98057383,-0.958587,0.18360887,-0.5608004,-0.011958625,0.19975796,-0.65526724
-0.35728565,-0.5620795,-0.44654238,-0.70826733,-0.04330714,-0.6850057,0.21064661,-0.7395697,-0.66467834
-0.17479923,-0.9495877,-0.87928456,-0.9486739,-0.46869493,-0.5561383,-0.08574821,-0.7291106,-0.72754467
0.79747975,-0.9913977,-0.8941803,-1.0159041,-0.9478075,-0.77277356,-1.0296966,-0.70250016,-0.6402112
-0.43828812,-0.74790096,-0.93181115,-0.7146664,0.46246684,-0.81182146,-0.30969316,-0.21687624,-1.0072109
0.23697841,-1.0023351,-1.0333165,-0.98346955,0.021652386,-0.745774,-0.7753277,-0.8687136,-0.86599517
0.95787114,-1.052052,-1.0146637,-1.025735,-0.44292867,-0.72853863,-0.47355735,-0.69549376,0.004937489
-0.09429427,-0.9414024,-1.0247341,-0.84759295,0.22612171,-0.766348,-0.60886437,-0.570791,-0.946456
0.88518417,-0.9772545,-0.95997715,-1.0065272,-0.29962748,-0.710657,-0.4622441,-0.5971033,-0.061862722
-1.2002593,2.8408675,2.9231849,0.5294711,2.0753093,-1.5872896,2.2269514,0.8755629,-0.8492296
0.08380445,-0.94427127,-0.94838,-0.934385,0.14757961,-0.71042156,-0.6653583,-0.7300994,-0.87297285
0.8631459,-1.0068175,-0.88977003,-1.0108244,-0.9474445,-0.76493627,-1.0421396,-0.7128739,-0.6290035
-0.4563776,-0.8429909,-1.0158,-0.68842655,0.40491736,-0.8187224,-0.37365508,-0.19905803,-1.0199925
0.14537266,-0.84036016,-0.78705925,0.18219076,0.48046917,-0.8639886,0.39472777,-0.7598433,-0.34643564
-0.9420681,0.30485946,-0.28073096,-0.87608296,1.567328,-0.8883243,0.23985623,0.33403865,-1.0053604
-0.24232247,-0.958915,-0.70360214,-0.6544497,0.18786933,-0.6826202,-0.27362478,-0.24284759,-0.7937639
-0.3913094,-0.26759577,0.0605129,-0.592312,0.13918357,-0.6536227,0.28503686,-0.36422628,-0.6223712
0.49368003,-0.9883306,-0.9401287,-0.946147,-0.57880795,-0.73973745,-0.8508171,-0.73258156,-0.72070825
0.86619985,-0.991632,-0.89629203,-0.99888784,-1.0340201,-0.7647044,-1.0611719,-0.75500226,-0.61867464
-0.46250013,-0.015856221,0.069408536,-0.5508036,0.26663977,-0.75035435,0.4257307,-0.3901383,-0.7341254
0.083050646,-0.97698694,-1.0075368,-0.98122424,0.1514938,-0.71870047,-0.69078827,-0.7536616,-0.9096532
-0.19154239,-0.94377375,-0.7837299,-0.9526427,-0.30192137,-0.5761786,-0.16984993,-0.5918833,-0.73383564
0.6899682,-1.1152377,-1.0987481,-1.0598748,-0.46301645,-0.6623754,-0.4424609,-0.70558393,-0.12372306
0.93785787,-1.0600903,-1.0618384,-1.0186249,-0.34223104,-0.7057844,-0.47367734,-0.66974145,-0.060917404
0.3406292,-0.97946846,-0.93005496,-0.8674628,0.051356263,-0.6425276,-0.5767184,-0.5804741,-0.85276103
0.19115674,-1.0250897,-1.0892327,-1.037369,0.08857857,-0.7661064,-0.7763941,-0.87097055,-0.8961197
-0.16079095,-0.94484735,-0.82019097,-0.9778249,-0.41279346,-0.55671835,-0.103637114,-0.64309645,-0.7293886
-0.29788858,-0.96157295,-0.5946597,-0.7575907,0.15885535,-0.64213306,-0.26930243,-0.16533446,-0.7645389
-0.109398775,-0.9238607,-0.6384437,-0.60849863,0.15599981,-0.64116186,-0.25680724,-0.19976705,-0.72390234
0.87111413,-1.1599876,-1.1488994,-1.0798478,-0.4714989,-0.70415753,-0.54711235,-0.73491216,-0.060610082
-0.9457991,-1.0008353,-0.99308246,-0.9774352,0.049754426,-0.4720211,0.068144396,0.15447861,-0.59838724
0.8761526,-0.98802936,-0.9659009,-1.0150545,-0.310498,-0.6896664,-0.48141545,-0.60597885,-0.14937492
-0.32530355,-0.8707998,-0.7489739,-0.8011236,0.32159752,-0.665212,-0.46044347,0.341023,-0.807805
-0.39208004,-0.94990486,-0.4250155,-0.9522617,0.060482606,-0.5984081,-0.286461,-0.092513345,-0.75273514
-0.483817,-0.6477756,-0.892828,-0.70786,0.55918974,-0.8180978,-0.25307685,-0.16528282,-0.9958861
0.16668245,-1.0101907,-1.030238,-0.9886479,0.117303,-0.7515123,-0.7697569,-0.9099193,-0.8837629
-0.43180147,-0.8065142,-0.9881588,-0.6937034,0.3941909,-0.8199914,-0.32344255,-0.24698108,-1.0170224
0.96308136,-1.0379922,-0.9070674,-0.68747085,0.72163403,-1.0552931,-0.05966681,-1.0787481,-0.33120593
0.97286,-0.99129117,-0.82858324,-0.6633645,0.6590176,-0.9973814,-0.0138929,-1.0192404,-0.33293495
0.94171154,-1.0367486,-0.8743285,-0.98180336,-0.14500026,-0.5005354,-0.58809584,-0.5370295,-0.7855308
-0.5476337,-0.39066696,-0.7366652,-0.82612556,0.8039797,-0.82076526,-0.17823716,-0.024434559,-1.0025744
0.8756863,-1.0221133,-0.90401685,-1.0173645,-0.84059066,-0.75349313,-0.9712855,-0.7248393,-0.5821612
-0.49438977,-0.9417529,-0.36581823,-1.0432454,0.009620115,-0.5616531,-0.29337174,0.007492743,-0.7623411
0.9895605,-1.0709252,-1.0639648,-1.0342622,-0.41991323,-0.7277318,-0.5257547,-0.6361419,-0.01991203
-0.13400865,-0.92733735,-0.56489277,-0.63363034,0.16785349,-0.63607085,-0.26927525,-0.14350182,-0.7080114
0.8116925,-0.9945175,-0.9197364,-1.0288717,-0.95776933,-0.7754704,-1.0360168,-0.7327421,-0.620352
-0.1607965,-0.91659033,-0.7821573,-0.64295506,0.23271634,-0.71781564,-0.34924367,-0.27444988,-0.8409303
-0.120267235,-0.8904433,-0.9444071,-0.75940627,0.23554268,-0.73912996,-0.47360516,-0.45387957,-0.9018738
-0.58614403,-0.62411225,-0.908978,-0.7414873,0.7154317,-0.876203,-0.24682583,-0.11694764,-1.0450208
-0.40067902,-0.9432855,-0.40194267,-0.9411879,0.06583972,-0.5907145,-0.29103237,-0.063091,-0.75811636
0.8509568,-1.0212146,-0.90624976,-1.0194415,-1.042506,-0.8051812,-1.0730798,-0.76657313,-0.6263432
0.934927,-1.0387996,-1.0211425,-1.0082903,-0.4461547,-0.6931581,-0.4932214,-0.65535116,-0.035631727
0.57981753,-0.98020256,-0.94726753,-0.9701163,-0.13544534,-0.651767,-0.7190175,-0.75327086,-0.8248573
-0.017138086,-0.95891726,-0.96479714,-0.6962601,0.16560857,-0.71127635,-0.44516808,-0.37526125,-0.89667475
-0.06828227,-0.9171159,-0.60107225,-0.55816376,0.1656886,-0.6410781,-0.23067975,-0.19946715,-0.74054813
-0.27104297,-0.90084565,-1.0261924,-0.70924276,0.2756763,-0.7863551,-0.42588502,-0.30984798,-0.9977921
0.8672596,-0.92321473,-0.79374325,-0.64563984,0.64021677,-0.94107294,0.025978137,-0.96145767,-0.32758662
-0.07717969,-1.0418199,-0.98849565,-0.9631487,-0.56656855,-0.6001983,-0.035862874,-0.90751946,-0.7067971
-0.16897067,-0.94037026,-0.60292584,-0.56709194,0.18669333,-0.6523238,-0.21764278,-0.16282532,-0.7274904
0.85407585,-1.0201921,-0.896904,-0.96034944,-0.20052049,-0.5637264,-0.6428067,-0.61768055,-0.80400574
-0.14576504,-0.9220455,-0.6643872,-0.57181996,0.21861555,-0.6758228,-0.27271947,-0.22812673,-0.7798463
0.35817197,-0.86370903,-0.7441931,-0.22996642,0.54181206,-0.8960951,0.15123539,-0.7034232,-0.40681633
-0.2698367,-0.95235693,-0.732527,-0.9943968,-0.3272633,-0.54945785,-0.11518158,-0.5184152,-0.73754895
-0.4818931,-0.6500793,-0.4945097,-0.71356153,-0.01980345,-0.6832445,0.19140397,-0.8024329,-0.7338003
0.2676447,-0.99652994,-0.9892476,-0.9933998,-0.08300506,-0.74138314,-0.7861432,-0.8261799,-0.8222834
-0.23440212,-0.94980496,-0.55995494,-0.66402173,0.13253483,-0.626571,-0.22445787,-0.13669121,-0.7154105
0.81159544,-0.9689148,-0.90471786,-0.98393375,-0.90126044,-0.71846014,-0.9657107,-0.7160558,-0.6255752
0.895051,-1.051064,-0.9546834,-1.0137626,-0.6356661,-0.6386902,-0.7722614,-0.679524,-0.40971267
-0.010521971,-0.94197947,-0.9543141,-0.7397739,0.18162347,-0.7169632,-0.45871937,-0.35454905,-0.90868556
1.0282502,-1.0603322,-1.0162274,-1.002039,-0.40440392,-0.7220468,-0.5014654,-0.6662078,0.030765329
1.0133581,-0.9310558,-0.78603894,-0.56889904,0.8109072,-1.0573975,0.10476981,-1.0851761,-0.282432
-0.58434886,-0.39465213,-0.7305366,-0.79048836,0.8283015,-0.8363624,-0.16635932,-0.018802404,-0.99682885
-0.12481891,-0.9032253,-0.8891497,-0.7411201,0.2197642,-0.73249346,-0.4548166,-0.40218636,-0.87193155
-0.34611353,0.12184863,0.20877525,-0.5098328,0.3057229,-0.7162066,0.42779404,-0.23028234,-0.68965906
0.8821667,-1.023949,-0.9017165,-1.0095651,-1.0142142,-0.7976355,-1.0885178,-0.72346085,-0.6493795
-0.4309366,-1.072253,-0.62686086,-1.1836863,0.3608507,-0.6607513,-0.7964367,1.4294609,-0.69097364
-0.97121966,-1.0585853,-1.007834,-0.9701039,0.16265075,-0.6011373,-0.06577104,0.30708987,-0.6646445
0.817153,-1.0228158,-0.9397123,-1.0395659,-0.48610705,-0.6627444,-0.80333793,-0.64492124,-0.7416833
-0.33773872,-0.85860306,-1.0381954,-0.73284763,0.33075804,-0.7994535,-0.39517698,-0.23508796,-0.98462963
0.8670695,-1.0197091,-0.8659428,-0.66704005,0.5543009,-0.98051274,-0.03791749,-1.0641726,-0.21156943
0.92249036,-0.9985075,-0.9880087,-0.96674854,-0.22410622,-0.7211773,-0.3878911,-0.68299127,0.020064715
0.84160364,-0.99709255,-0.8921567,-1.0206219,-1.0550315,-0.8017653,-1.0715238,-0.7581993,-0.62880737
-0.087231,-0.89614904,-1.0210258,-0.86318576,0.23653674,-0.75570357,-0.5961472,-0.56108737,-0.9591918
-0.23345631,-0.92215645,-0.7404274,-0.54134434,0.25861046,-0.6672762,-0.2671633,-0.1954225,-0.80421257
0.03940828,-0.9560942,-0.919179,-0.8758535,0.15862672,-0.6947398,-0.56188667,-0.62038314,-0.84076315
-0.087889574,-0.9931883,-0.96557266,-0.9947558,-0.6007925,-0.5873069,-0.04421438,-0.88000274,-0.7436452
0.9783214,-0.9863175,-0.9806542,-0.8959505,0.008715645,-0.8431966,-0.30331844,-0.77349734,-0.091962725
0.12099586,-0.98525566,-1.0300615,-1.015345,0.15883397,-0.750932,-0.7530896,-0.8743444,-0.89707154
0.98781097,-0.9999723,-0.98498917,-0.9109617,-0.048314676,-0.81729716,-0.32423788,-0.7602451,-0.06981543
-0.44363725,-0.9293279,-0.38779336,-0.94370633,0.0427285,-0.5600907,-0.27890867,-0.05207146,-0.7417799
-0.50948,-0.68606067,-0.9251702,-0.6814491,0.5399784,-0.8192424,-0.29809207,-0.10689533,-1.0227959
-0.10759985,-0.94261706,-0.708738,-0.6409523,0.18743666,-0.67592585,-0.34601596,-0.28279233,-0.7796227
-0.5272243,0.5284686,0.7541913,-0.30349872,0.68893176,-0.8057565,0.7333157,0.030668542,-0.6512049
-0.1035726,-0.92935306,-0.6820749,-0.5557632,0.19443546,-0.65119183,-0.26191628,-0.23316118,-0.743962
0.8549956,-1.00326,-0.9123025,-1.0008954,-0.952779,-0.77006656,-1.0336176,-0.71493584,-0.63670737
-0.053706415,-0.9075351,-0.57979965,-0.485706,0.17598702,-0.6217679,-0.19668879,-0.2062752,-0.7078051
-0.4259425,-0.83875763,-1.008733,-0.69342065,0.38334525,-0.8162372,-0.3794747,-0.19620267,-1.0197964
-0.221257,-1.1340485,-1.054853,-1.0222255,-0.5933416,-0.6898944,-0.18604876,-1.0290602,-0.8683263
0.10155816,-0.9882879,-1.0158277,-1.0140357,0.14466298,-0.72543913,-0.73449486,-0.8300839,-0.87630147
-0.31829286,-0.90640384,-0.68757707,-0.90840286,0.35583794,-0.6355703,-0.53501654,0.75953484,-0.6793318
0.14885792,-0.99640834,-1.0436845,-1.004366,0.13741323,-0.748863,-0.7514707,-0.9008873,-0.91434515
0.9552149,-1.0055095,-0.930171,-0.8215433,0.1876927,-0.85688835,-0.23812062,-0.8610143,-0.1293664
-0.23034129,-0.8975023,-1.0077239,-0.73822325,0.26076883,-0.78160083,-0.45358205,-0.3414031,-0.97150266
0.9512888,-1.005829,-0.8590754,-0.96195924,-0.16412444,-0.50489545,-0.5994679,-0.5377616,-0.77592754
-0.28721347,-0.9559362,-0.52284926,-0.8674152,0.107763186,-0.6210725,-0.3255596,-0.1525256,-0.7657188
-0.050528474,-1.0201193,-0.98037577,-0.9824209,-0.6035014,-0.58960015,-0.16003363,-0.9436763,-0.67319846
-0.18491477,-0.8945563,-0.81953055,-0.6337215,0.24620302,-0.7138019,-0.31013906,-0.2580352,-0.83586824
-0.9243612,-0.9867573,-0.9559038,-0.98753715,0.18565746,-0.5698139,-0.018548328,0.27918702,-0.6607008
0.73115087,-1.1530756,-1.1443357,-1.0480598,-0.45922273,-0.70801234,-0.49876815,-0.75335824,-0.14461836
-0.29828927,-0.96333265,-0.7207463,-0.7458204,0.14916709,-0.6793119,-0.2997023,-0.26020032,-0.81909794
-0.13122663,-1.168024,-1.0507348,-0.89870685,-0.37474924,-0.5842466,-0.1304716,-1.0086309,-0.60279405
-0.0918413,-0.9305322,-0.75424194,-0.6855767,0.2049807,-0.68741095,-0.38996392,-0.33363503,-0.8055386
-0.57941383,-0.9573525,-0.8012048,-0.9332088,0.043146297,-0.56384146,-0.16256028,-0.0682308,-0.72545993
0.89351714,-0.9988171,-0.98802704,-0.97154295,-0.22552876,-0.71873933,-0.38692313,-0.70093554,0.002411205
-0.43119368,-0.7555007,-0.924973,-0.72122395,0.4360326,-0.7652772,-0.3491879,-0.102320775,-0.9680106
